condition,ended_time_weekday,ended_time_weekend,seller_country,seller_feedback_pct,seller_feedback_positive,seller_feedback_neutral,seller_feedback_negative,seller_member_duration,num_bidders,bids,duration,hasItemDesc
Used,4,0,United States,100.0,5,0,0,2196,11,21,10,0
Used,6,1,Germany,100.0,31,0,0,5424,22,83,7,0
Used,4,0,Australia,100.0,7,0,0,6052,5,9,7,0
Used,6,1,United Kingdom,100.0,26,0,0,2306,7,12,1,0
Used,4,0,Germany,100.0,13,0,0,7495,16,52,3,0
Used,3,0,United States,100.0,2,0,0,1118,24,59,3,0
Used,4,0,Germany,50.0,2,0,2,1355,6,22,3,0
Used,0,0,Australia,85.7,6,0,1,6079,13,22,10,0
Used,5,1,United Kingdom,100.0,45,0,0,4224,9,25,7,0
Used,3,0,United Kingdom,100.0,43,0,0,7198,10,17,3,1
Used,6,1,United States,100.0,315,0,0,3883,32,67,7,1
New,2,0,Germany,100.0,0,0,0,1521,13,35,1,0
Open box,6,1,United States,100.0,10,0,0,4592,7,8,7,0
Used,3,0,United Kingdom,100.0,18,0,0,7965,20,34,7,1
Open box,4,0,United States,98.4,66,0,1,2671,8,16,3,0
Used,3,0,United States,99.5,3338,25,15,3149,24,55,3,1
Used,3,0,United States,100.0,7,0,0,7841,8,24,7,0
Used,4,0,Germany,100.0,2,0,0,184,11,19,7,0
Open box,3,0,Germany,100.0,35,0,0,6493,13,23,10,0
Open box,3,0,United States,100.0,24,0,0,5315,6,6,5,1
Open box,1,0,United States,100.0,2,0,0,5310,2,3,1,1
Open box,6,1,Australia,100.0,4,0,0,1185,4,11,7,0
Used,0,0,United States,100.0,3,0,0,6748,11,21,7,0
Used,3,0,United Kingdom,100.0,17,0,0,906,16,44,1,0
Used,5,1,United Kingdom,100.0,1,1,0,1424,31,71,5,0
Open box,1,0,United States,100.0,3,0,0,3222,12,22,3,0
Used,6,1,United Kingdom,100.0,25,0,0,2302,7,12,1,0
Used,4,0,United Kingdom,100.0,3,0,0,2097,9,32,5,0
Used,0,0,United States,100.0,2,0,0,216,9,15,7,0
Used,6,1,United Kingdom,100.0,72,0,0,1327,13,15,1,0
Used,0,0,United Kingdom,100.0,3,0,0,3142,5,6,7,0
Used,2,0,United States,100.0,12,0,0,7588,5,10,5,0
Used,3,0,Australia,100.0,11,0,0,3708,12,28,3,0
Used,0,0,United Kingdom,100.0,3,0,0,5010,22,47,7,0
Used,4,0,Germany,100.0,1,0,0,20,12,21,3,0
Used,2,0,United Kingdom,90.0,9,0,1,1563,5,10,3,1
Used,6,1,United Kingdom,100.0,183,0,0,3871,2,3,10,0
Used,0,0,United Kingdom,95.5,66,0,3,1459,10,13,1,0
New,6,1,United Kingdom,100.0,44,0,0,2402,10,11,7,0
Used,1,0,United Kingdom,100.0,26,0,0,5583,28,59,7,0
For parts or not working,6,1,Australia,100.0,36,0,0,535,3,4,7,0
Used,6,1,Germany,100.0,2,0,0,2614,15,30,3,0
New,2,0,United Kingdom,100.0,7,0,0,1649,6,12,5,0
Used,4,0,United Kingdom,100.0,25,0,0,2302,5,8,1,0
Open box,3,0,Germany,100.0,25,0,0,6541,13,23,10,0
Used,3,0,United States,98.5,136,0,2,6709,9,12,5,1
For parts or not working,5,1,United States,100.0,32,0,0,4773,8,16,7,0
Used,1,0,United States,100.0,5,0,0,2322,26,40,7,0
For parts or not working,5,1,United States,100.0,4,0,0,8307,17,32,7,0
Used,6,1,United States,100.0,15,0,0,741,3,8,7,0
Used,2,0,United States,100.0,6,0,0,3088,7,17,7,0
Used,3,0,United Kingdom,100.0,26,0,0,3505,18,39,10,0
Used,6,1,Germany,100.0,3,0,0,7369,12,29,7,0
Used,2,0,United States,100.0,8,0,0,334,18,44,7,0
Used,5,1,United States,100.0,28,0,0,3596,21,66,7,1
For parts or not working,1,0,United Kingdom,99.7,342,0,1,608,12,30,7,1
Used,1,0,Australia,100.0,26,0,0,4028,12,28,7,0
Used,0,0,United States,100.0,4,0,0,4696,17,38,7,0
Used,2,0,United Kingdom,100.0,7,0,0,1353,5,12,7,0
Used,2,0,Australia,100.0,1,0,0,1687,7,15,7,0
Used,0,0,Australia,100.0,11,0,0,1335,15,29,7,0
Used,6,1,Germany,100.0,59,0,0,1708,7,9,7,0
Open box,3,0,Germany,100.0,2,0,0,6591,6,11,10,0
Used,6,1,United States,100.0,2,0,0,7631,10,18,5,0
Used,4,0,Germany,100.0,24,0,0,3276,23,48,5,0
Open box,2,0,United Kingdom,100.0,55,0,0,3914,13,25,7,1
Used,5,1,United States,75.0,3,0,1,8601,2,3,3,0
New,6,1,Germany,98.0,53,0,1,2559,11,27,1,0
Used,2,0,United States,100.0,11,0,0,8101,5,6,1,1
Used,0,0,United States,100.0,6,0,0,6100,18,47,7,0
Used,0,0,United Kingdom,99.2,257,0,2,7093,30,62,1,1
Used,5,1,United Kingdom,100.0,13,0,0,903,20,41,7,0
New,6,1,Germany,100.0,1,0,0,1531,4,13,3,0
Used,2,0,United States,93.8,20,0,1,7306,18,49,7,0
Used,6,1,United States,93.8,20,0,1,7256,25,55,7,0
Open box,6,1,United States,100.0,35,0,0,1670,18,26,7,0
Used,0,0,United States,100.0,7,0,0,6693,11,27,3,0
Used,0,0,United States,100.0,79,0,0,6799,12,24,3,0
Used,4,0,United States,100.0,4,0,0,2014,8,22,10,0
Used,3,0,Germany,87.5,7,0,1,4507,21,56,7,1
